Name,Taxon_ID,Accession_Number,Length
Ensifer adhaerens,106592,SOC81952.1,208
Ensifer adhaerens,106592,SOC85417.1,201
Ensifer adhaerens,106592,SOC83620.1,201
Stappia indica,538381,SOC25840.1,205
Pseudomonas sp. URIL14HWK12:I9,1261633,SNZ18871.1,242
Enterobacter sp. CC120223-11,1378073,SNY79465.1,225
Pseudomonas sp. URMO17WK12:I9,1265491,SOD11102.1,273
Hoeflea halophila,714899,SOE08752.1,189
Hoeflea halophila,714899,SOE08336.1,203
Hoeflea halophila,714899,SOE17841.1,202
Alteromonadaceae bacterium,1916082,PCK07050.1,121
Alteromonadaceae bacterium,1916082,PCK03472.1,221
Zetaproteobacteria bacterium,2026807,PCJ99129.1,214
Rhizobiales bacterium,1909294,PCJ91843.1,173
Porticoccaceae bacterium,2026782,PCJ90891.1,176
Thiotrichaceae bacterium,2030882,PCJ88054.1,222
Rhodobiaceae bacterium,2026785,PCJ71712.1,256
Rhodobiaceae bacterium,2026785,PCJ70632.1,309
Rhodobiaceae bacterium,2026785,PCJ70524.1,326
Rhodospirillaceae bacterium,1898112,PCJ61632.1,257
Rhodospirillaceae bacterium,1898112,PCJ56990.1,252
Moraxellaceae bacterium,1889775,PCJ46660.1,236
Alphaproteobacteria bacterium,1913988,PCJ44748.1,233
Moraxellaceae bacterium,1889775,PCJ35316.1,200
Alphaproteobacteria bacterium,1913988,PCJ32190.1,227
Rhizobiales bacterium,1909294,PCI88205.1,265
SAR86 cluster bacterium,2030880,PCI75761.1,123
Kordiimonadales bacterium,2030814,PCI62714.1,253
Methylophilaceae bacterium,2030816,PCI58813.1,208
Oceanospirillales bacterium,1914300,PCI46816.1,210
Alphaproteobacteria bacterium,1913988,PCI33184.1,228
Thiotrichales bacterium,2026796,PCI25596.1,188
Thiotrichales bacterium,2026796,PCI22217.1,188
Rhodobiaceae bacterium,2026785,PCI15783.1,304
Agrobacterium tumefaciens,358,PVE62770.1,241
Agrobacterium rhizogenes,359,PVE56361.1,203
Agrobacterium rhizogenes,359,PVE54882.1,204
Agrobacterium rhizogenes,359,PVE50821.1,241
Microvirga sp. KLBC 81,1862707,PVE23657.1,182
Microvirga sp. KLBC 81,1862707,PVE23428.1,182
Microvirga sp. KLBC 81,1862707,PVE22009.1,232
Microvirga sp. KLBC 81,1862707,PVE21926.1,147
Microvirga sp. KLBC 81,1862707,PVE21877.1,227
Microvirga sp. KLBC 81,1862707,PVE21327.1,147
Microvirga sp. KLBC 81,1862707,PVE21102.1,47
Microvirga sp. KLBC 81,1862707,PVE20920.1,219
Gammaproteobacteria bacterium DM2,2169539,WP_108651457.1,237
Aeromonas sp. HMWF015,2056851,WP_108612110.1,223
Aminobacter sp. MSH1,374606,WP_108608351.1,201
Aminobacter sp. MSH1,374606,WP_108607187.1,159
Aminobacter sp. MSH1,374606,WP_108606637.1,179
Aminobacter sp. MSH1,374606,WP_108606099.1,209
Aminobacter sp. MSH1,374606,WP_108605549.1,190
Aminobacter sp. MSH1,374606,WP_108605544.1,310
Catenovulum sp. CCB-QB4,2172099,WP_108603024.1,221
Catenovulum sp. CCB-QB4,2172099,WP_108602591.1,273
Pseudomonas sp. HMWF021,2056857,WP_108591611.1,230
Aeromonas sp. HMWF017,2056853,WP_108588496.1,197
Aeromonas sp. HMWF016,2056852,WP_108572777.1,255
Pseudoarcobacter caeni,1912877,WP_108560602.1,212
Pseudoarcobacter caeni,1912877,WP_108559152.1,213
Aeromonas sp. HMWF014,2056850,WP_108535999.1,249
Arcobacter sp. RW43-9,1912876,WP_108527886.1,199
Arcobacter sp. RW43-9,1912876,WP_108527217.1,213
Bradyrhizobium algeriense,634784,WP_108516747.1,209
Bradyrhizobium algeriense,634784,WP_108512244.1,258
Pseudomonas,286,WP_108487334.1,230
Pseudomonas,286,WP_108486705.1,223
Pseudomonas plecoglossicida,70775,WP_108479898.1,230
Pseudocitrobacter sp. RIT 415,2202163,WP_108476092.1,233
Devosia sp. CM5-1,2082392,WP_108459466.1,202
Halomonas sp. BN3-1,2082393,WP_108447809.1,236
Halomonas denitrificans,370769,WP_108446755.1,238
Labrenzia sp. 011,2171494,PVB59993.1,205
Gemmobacter sp. HYN0069,2169400,WP_108436822.1,208
Gemmobacter sp. HYN0069,2169400,WP_108434800.1,214
Devosia submarina,1173082,WP_108396393.1,209
Devosia submarina,1173082,WP_108395685.1,191
Vibrio cholerae,666,WP_108347657.1,220
Vibrio cholerae,666,WP_108335463.1,220
Legionella taurinensis,70611,WP_108290179.1,198
Pseudomonas,286,WP_108239933.1,218
Vibrio vulnificus,672,PUZ98899.1,245
Vibrio vulnificus,672,PUZ96268.1,245
Pseudomonas aeruginosa,287,OWI13747.1,237
Pseudomonas aeruginosa,287,OWI06158.1,237
Pseudomonas aeruginosa,287,OWI03039.1,237
Vibrio cholerae O139,45888,OWH96424.1,220
Vibrio cholerae O139,45888,OWH89387.1,220
Vibrio cholerae O139,45888,OWH85769.1,220
Vibrio cholerae O139,45888,OWH83050.1,220
Vibrio cholerae O139,45888,OWH78821.1,220
Vibrio cholerae O139,45888,OWH76054.1,220
Vibrio cholerae O139,45888,OWH72675.1,220
Vibrio cholerae O139,45888,OWH67537.1,220
Vibrio cholerae O139,45888,OWH65450.1,220
Vibrio cholerae O139,45888,OWH63864.1,220
Pseudomonas aeruginosa C-NN2,910265,SMZ51845.1,237
Croceicoccus marinus,450378,ARU15334.1,308
Pseudomonas aeruginosa,287,ASA30663.1,237
Pseudomonas aeruginosa,287,ASA16825.1,212
Brucella melitensis,29459,ARZ53377.1,195
Brucella melitensis,29459,ARZ52312.1,206
Brucella melitensis,29459,ARZ51565.1,201
Brucella melitensis,29459,ARZ50213.1,195
Brucella melitensis,29459,ARZ49145.1,206
Brucella melitensis,29459,ARZ48395.1,201
Brucella melitensis,29459,ARZ47010.1,195
Brucella melitensis,29459,ARZ45914.1,206
Brucella melitensis,29459,ARZ45193.1,201
Brucella melitensis,29459,ARZ43857.1,195
Brucella melitensis,29459,ARZ42789.1,206
Brucella melitensis,29459,ARZ42039.1,201
Brucella melitensis,29459,ARZ40676.1,195
Brucella melitensis,29459,ARZ39613.1,206
Brucella melitensis,29459,ARZ38866.1,201
Brucella melitensis,29459,ARZ37479.1,195
Brucella melitensis,29459,ARZ36393.1,206
Brucella melitensis,29459,ARZ35669.1,201
Brucella melitensis,29459,ARZ34303.1,195
Brucella melitensis,29459,ARZ33232.1,206
Brucella melitensis,29459,ARZ32511.1,201
Brucella melitensis,29459,ARZ31162.1,195
Brucella melitensis,29459,ARZ30102.1,206
Brucella melitensis,29459,ARZ29356.1,201
Brucella melitensis,29459,ARZ27977.1,195
Brucella melitensis,29459,ARZ26889.1,206
Brucella melitensis,29459,ARZ26162.1,201
Brucella melitensis,29459,ARZ24822.1,195
Brucella melitensis,29459,ARZ23763.1,206
Brucella melitensis,29459,ARZ23016.1,201
Brucella melitensis,29459,ARZ21657.1,195
Brucella melitensis,29459,ARZ20591.1,206
Brucella melitensis,29459,ARZ19846.1,201
Rhizobium sp. M10,1324586,PDT33118.1,190
Rhizobium sp. L9,1340738,PDT32181.1,199
Rhizobium sp. L9,1340738,PDT30988.1,191
Rhizobium sp. L9,1340738,PDT29085.1,201
Rhizobium sp. L9,1340738,PDT28868.1,199
Rhizobium hidalgonense,1538159,PDT23961.1,201
Rhizobium hidalgonense,1538159,PDT23869.1,199
Rhizobium hidalgonense,1538159,PDT23447.1,199
Rhizobium hidalgonense,1538159,PDT23329.1,191
Rhizobium sp. J15,2035450,PDT18074.1,201
Rhizobium sp. J15,2035450,PDT17054.1,199
Rhizobium sp. J15,2035450,PDT15715.1,199
Rhizobium sp. M1,2035453,PDT10100.1,199
Rhizobium sp. M1,2035453,PDT08081.1,199
Rhizobium sp. M1,2035453,PDT07688.1,201
Rhizobium sp. M1,2035453,PDT04993.1,190
Rhizobium sp. C5,2035448,PDT03988.1,199
Rhizobium sp. C5,2035448,PDT03703.1,201
Rhizobium sp. C5,2035448,PDT02021.1,199
Rhizobium sp. C5,2035448,PDT00733.1,191
Rhizobium sp. S9,2035454,PDS98044.1,199
Rhizobium sp. S9,2035454,PDS96318.1,191
Rhizobium sp. S9,2035454,PDS95777.1,199
Rhizobium sp. S9,2035454,PDS94776.1,201
Rhizobium acidisoli,1538158,PDS92793.1,199
Rhizobium acidisoli,1538158,PDS91603.1,199
Rhizobium acidisoli,1538158,PDS91371.1,201
Rhizobium acidisoli,1538158,PDS90749.1,191
Rhizobium sp. L18,2035451,PDS86828.1,199
Rhizobium sp. L18,2035451,PDS85427.1,190
Rhizobium sp. L18,2035451,PDS84443.1,199
Rhizobium sp. L18,2035451,PDS82295.1,201
Rhizobium sp. L43,2035452,PDS80727.1,199
Rhizobium sp. L43,2035452,PDS77098.1,201
Rhizobium sp. L43,2035452,PDS75995.1,199
Rhizobium sp. L43,2035452,PDS74663.1,191
Rhizobium phaseoli,396,PDS74290.1,199
Rhizobium phaseoli,396,PDS69312.1,190
Rhizobium phaseoli,396,PDS69180.1,199
Rhizobium phaseoli,396,PDS68961.1,201
Rhizobium anhuiense,1184720,PDS66733.1,199
Rhizobium anhuiense,1184720,PDS66265.1,201
Rhizobium anhuiense,1184720,PDS65736.1,199
Rhizobium anhuiense,1184720,PDS60128.1,199
Rhizobium anhuiense,1184720,PDS58871.1,199
Rhizobium anhuiense,1184720,PDS55195.1,201
Rhizobium anhuiense,1184720,PDS54591.1,235
Rhizobium anhuiense,1184720,PDS53281.1,199
Rhizobium anhuiense,1184720,PDS51383.1,199
Rhizobium anhuiense,1184720,PDS49371.1,201
Methylobacterium sp. 17Sr1-1,2202826,AWN55685.1,216
Methylobacterium sp. 17Sr1-1,2202826,AWN53142.1,214
Methylobacterium sp. 17Sr1-1,2202826,AWN53114.1,235
Methylobacterium sp. 17Sr1-28,2202827,AWN49780.1,216
Methylobacterium sp. 17Sr1-28,2202827,AWN45816.1,214
Methylobacterium sp. 17Sr1-28,2202827,AWN45041.1,230
Methylobacterium sp. 17SD2-17,2202825,AWN44862.1,208
Methylobacterium sp. 17SD2-17,2202825,AWN44491.1,219
Methylobacterium sp. 17SD2-17,2202825,AWN43906.1,192
Methylobacterium sp. 17Sr1-43,2202828,AWN36822.1,211
Methylobacterium sp. 17Sr1-43,2202828,AWN36820.1,233
Methylobacterium sp. 17Sr1-43,2202828,AWN34839.1,222
Zavarzinia compransoris,1264899,PWR21550.1,206
Pseudomonas sp. OV226,2135588,WP_109788053.1,230
Pseudomonas sp. OV226,2135588,WP_109786367.1,235
Phyllobacteriaceae bacterium StC1,2184161,WP_109768749.1,194
Phyllobacteriaceae bacterium StC1,2184161,WP_109768032.1,192
Phyllobacteriaceae bacterium StC1,2184161,WP_109766723.1,204
Falsochrobactrum sp. HN4,2201899,WP_109707494.1,194
Falsochrobactrum sp. HN4,2201899,WP_109705969.1,206
Falsochrobactrum sp. HN4,2201899,WP_109704892.1,206
Mesorhizobium loti,381,WP_109671713.1,202
Mesorhizobium loti,381,WP_109663552.1,205
Mesorhizobium loti,381,WP_109663294.1,208
Mesorhizobium loti,381,WP_109661468.1,187
Mesorhizobium loti,381,WP_109659514.1,313
Pseudomonas sp. 31-12,2201356,WP_109628522.1,235
Pseudomonas sp. 31-12,2201356,WP_109627171.1,230
Pseudaminobacter salicylatoxidans,93369,WP_109614737.1,201
Pseudaminobacter salicylatoxidans,93369,WP_109614221.1,188
Microvirga sp. 17 mud 1-3,2082949,WP_109600454.1,181
Microvirga sp. 17 mud 1-3,2082949,WP_109597482.1,229
Aminobacter sp. AP02,2135737,WP_109577895.1,188
Aminobacter sp. AP02,2135737,WP_109577322.1,201
Aminobacter sp. AP02,2135737,WP_109575882.1,170
Aminobacter sp. AP02,2135737,WP_109573776.1,311
Pseudomonas sp. 31-12,2201356,AWM90915.1,235
Pseudomonas sp. 31-12,2201356,AWM89605.1,230
Microvirga sp. 17 mud 1-3,2082949,AWM88831.1,181
Microvirga sp. 17 mud 1-3,2082949,AWM87185.1,229
Bradyrhizobium sp. ORS 3257,167468,SPP98925.1,243
Bradyrhizobium sp. ORS 3257,167468,SPP97743.1,208
Bradyrhizobium sp. ORS 3257,167468,SPP97718.1,188
Bradyrhizobium sp. ORS 3257,167468,SPP97662.1,187
Bradyrhizobium sp. ORS 3257,167468,SPP94567.1,208
Bradyrhizobium sp. ORS 3257,167468,SPP93936.1,204
Pseudomonas aeruginosa,287,WP_109501589.1,237
Brenneria roseae,1509241,WP_109491437.1,228
Rhizobium sp. NS-104,2182425,WP_109458857.1,203
Rhizobium sp. NS-104,2182425,WP_109458427.1,200
Methylobacterium sp. Leaf466,1736386,WP_056410844.1,224
Methylobacterium sp. Leaf466,1736386,WP_056408453.1,231
Methylobacterium sp. Leaf465,1736385,WP_056379636.1,228
Sphingopyxis,165697,WP_056372818.1,357
Methylobacterium sp. Leaf89,1736245,WP_056349927.1,228
Rhizobium sp. Root482,1736543,WP_056338850.1,186
Rhizobium sp. Root482,1736543,WP_056338788.1,206
Rhizobium sp. Root482,1736543,WP_056335650.1,203
Rhizobium sp. Root482,1736543,WP_056330541.1,187
Rhizobium,379,WP_056318952.1,202
Rhizobium,379,WP_056317633.1,206
Rhizobium,379,WP_056316513.1,189
Methylibium sp. Root1272,1736441,WP_056314790.1,238
Devosia sp. Root685,1736587,WP_056310630.1,220
Devosia sp. Root685,1736587,WP_056307495.1,208
Methylobacterium sp. Leaf100,1736252,WP_056303938.1,233
Afipia sp. Root123D2,1736436,WP_056294399.1,318
Afipia sp. Root123D2,1736436,WP_056294336.1,274
Afipia sp. Root123D2,1736436,WP_056292976.1,216
Methylobacterium sp. Leaf108,1736256,WP_056286698.1,224
Methylobacterium sp. Leaf108,1736256,WP_056285813.1,231
Methylobacterium sp. Leaf88,1736244,WP_056275405.1,219
Pelomonas,335058,WP_056264399.1,206
Methylobacterium sp. Leaf87,1736243,WP_056262436.1,242
Methylobacterium sp. Leaf93,1736249,WP_056254704.1,225
Devosia sp. Root436,1736537,WP_056250995.1,188
Devosia sp. Root436,1736537,WP_056250928.1,209
Methylobacterium sp. Leaf456,1736382,WP_056249229.1,220
Methylobacterium sp. Leaf456,1736382,WP_056249227.1,229
Methylobacterium sp. Leaf456,1736382,WP_056242862.1,214
Mesorhizobium sp. Root552,1736555,WP_056240618.1,207
Mesorhizobium sp. Root552,1736555,WP_056235886.1,201
Devosia sp. Root635,1736575,WP_056232490.1,187
Methylobacterium,407,WP_056216378.1,207
Methylobacterium,407,WP_056216376.1,228
Methylobacterium,407,WP_056214877.1,219
Methylobacterium sp. Leaf123,1736264,WP_056196082.1,222
Pelomonas sp. Root1237,1736434,WP_056195047.1,206
Methylobacterium sp. Leaf123,1736264,WP_056192115.1,219
Methylobacterium sp. Leaf123,1736264,WP_056192112.1,234
Methylobacterium sp. Leaf113,1736259,WP_056185232.1,208
Methylobacterium,407,WP_056185228.1,228
Methylobacterium sp. Leaf113,1736259,WP_056179170.1,215
Methylobacterium sp. Leaf112,1736258,WP_056170395.1,201
Methylobacterium,407,WP_056169005.1,233
Methylobacterium sp. Leaf112,1736258,WP_056169001.1,198
Methylobacterium sp. Leaf85,1736241,WP_056142550.1,208
Methylobacterium sp. Leaf85,1736241,WP_056142388.1,227
Methylobacterium,407,WP_056139818.1,225
Methylobacterium,407,WP_056119950.1,234
Aeromonas hydrophila AD9,1453502,EZH82880.1,224
Pseudomonas composti,658457,EZH79487.1,226
Aeromonas hydrophila AD9,1453502,EZH78562.1,240
Pseudomonas composti,658457,EZH78142.1,212
Pseudomonas protegens Cab57,1420599,BAO59479.1,230
Candidatus Phaeomarinobacter ectocarpi,1458461,CDO58404.1,200
Pseudomonas aeruginosa PA96,1457392,AHW72183.1,237
Bradyrhizobium sp. DOA9,1126627,GAJ37377.1,326
Bradyrhizobium sp. DOA9,1126627,GAJ36211.1,217
Bradyrhizobium sp. DOA9,1126627,GAJ31248.1,243
Aeromonas hydrophila YL17,1448139,AHV33784.1,224
Pseudomonas aeruginosa PA103,1081927,EYU04079.1,237
Pseudomonas aeruginosa PA99,1437873,EYU01346.1,237
Shinella sp. DD12,1410620,EYR83671.1,205
Shinella sp. DD12,1410620,EYR82729.1,200
Shinella sp. DD12,1410620,EYR80959.1,199
Shinella sp. DD12,1410620,EYR79596.1,198
Shinella sp. DD12,1410620,EYR79579.1,198
Vibrio cholerae O1 biovar El Tor str. L-3226,1458274,EYC47653.1,194
Brucella suis bv. 1 str. S2,1004954,AHN48739.1,184
Brucella suis bv. 1 str. S2,1004954,AHN47714.1,206
Brucella suis bv. 1 str. S2,1004954,AHN46882.1,201
Brucella melitensis 548,1457189,EXU84170.1,206
Brucella melitensis 548,1457189,EXU83364.1,195
Brucella melitensis 548,1457189,EXU82032.1,201
Comamonas aquatica DA1877,1457173,EXU80949.1,223
Sphingobium sp. Ant17,1461752,EXS71982.1,71
Sphingobium sp. Ant17,1461752,EXS71981.1,156
Pseudomonas brassicacearum,930166,AHL31543.1,230
Aquamicrobium defluvii,69279,EXL09030.1,201
Ochrobactrum anthropi,529,EXL08483.1,135
Ochrobactrum anthropi,529,EXL07964.1,202
Ochrobactrum anthropi,529,EXL07698.1,206
Aquamicrobium defluvii,69279,EXL06585.1,205
Aquamicrobium defluvii,69279,EXL03664.1,216
Ochrobactrum anthropi,529,EXL02136.1,216
Vibrio parahaemolyticus VPTS-2010,1238222,EXJ48872.1,227
Vibrio parahaemolyticus VPTS-2010_2,1238220,EXJ45130.1,227
Vibrio parahaemolyticus VP-48,1238204,EXJ38336.1,227
Vibrio parahaemolyticus VPCR-2009,1238223,EXJ37292.1,227
Vibrio parahaemolyticus VPTS-2009,1238221,EXJ27053.1,227
Imhoffiella purpurea,1249627,EXJ16312.1,229
Nitrincola nitratireducens,1229521,EXJ11549.1,230
Candidatus Accumulibacter sp. SK-12,1454001,EXI64385.1,239
Pseudomonas aeruginosa LESlike4,1408275,AHL14570.1,237
Pseudomonas aeruginosa LESlike1,1408274,AHL08616.1,237
Pseudomonas aeruginosa LESB65,1408273,AHL02695.1,237
Pseudomonas aeruginosa LES400,1408271,AHK96730.1,237
Pseudomonas aeruginosa LESlike7,1408277,AHK90750.1,237
Pseudomonas aeruginosa LESlike5,1408276,AHK84851.1,237
Ensifer alkalisoli,1752398,ODR89684.1,254
Shewanella xiamenensis,332186,ODR85614.1,235
Salinivibrio,51366,WP_069360877.1,221
Salinivibrio sp. DV,1892894,ODQ01524.1,221
Salinivibrio sp. BNH,1895021,ODP99364.1,221
Pseudomonas aeruginosa,287,AON37945.1,237
Pseudomonas aeruginosa,287,AON19947.1,237
Pseudomonas aeruginosa,287,AON73262.1,237
Pseudomonas aeruginosa,287,AON49940.1,237
Pseudomonas aeruginosa,287,AON43929.1,237
Pseudomonas aeruginosa,287,AON31942.1,237
Pseudomonas aeruginosa,287,AON26468.1,237
Pseudomonas aeruginosa,287,AON13963.1,237
Pseudomonas aeruginosa,287,AON07974.1,237
Methylophaga muralis,291169,WP_069295987.1,223
Cobetia marina,28258,AOM00439.1,222
Pseudomonas aeruginosa,287,SCM63595.1,237
Methylobrevis pamukkalensis,1439726,ODN70595.1,204
Methylophaga muralis,291169,ODN66825.1,211
Bradyrhizobium elkanii,29448,WP_069280414.1,248
Bradyrhizobium elkanii,29448,WP_069279885.1,204
Bradyrhizobium elkanii,29448,WP_069279264.1,209
Bradyrhizobium elkanii,29448,WP_069277523.1,337
Vibrio cholerae,666,WP_069213553.1,220
Brucella melitensis,29459,ODN40140.1,195
Brucella melitensis,29459,ODN39255.1,201
Brucella melitensis,29459,ODN38183.1,206
Vibrio parahaemolyticus,670,ODN35621.1,227
Bradyrhizobium elkanii,29448,ODM81639.1,337
Bradyrhizobium elkanii,29448,ODM80342.1,248
Bradyrhizobium elkanii,29448,ODM79833.1,337
Bradyrhizobium elkanii,29448,ODM79027.1,204
Bradyrhizobium elkanii,29448,ODM73714.1,209
Bradyrhizobium elkanii,29448,ODM72346.1,209
Bradyrhizobium elkanii,29448,ODM71655.1,204
Bradyrhizobium elkanii,29448,ODM70905.1,248
Alcaligenes faecalis subsp. faecalis NBRC 13111,1218102,GAU75362.1,210
Marinobacter adhaerens,1033846,WP_069185283.1,220
Vibrio harveyi,669,ODM58534.1,227
Aeromonas hydrophila,644,ODM35454.1,253
Aeromonas hydrophila,644,ODM30782.1,224
Marinobacter adhaerens,1033846,ODM24714.1,220
Candidatus Thiodiazotropha endolucinida,1655433,WP_069127541.1,214
Candidatus Thiodiazotropha endolucinida,1655433,ODJ86185.1,258
Brucella melitensis,29459,AOG54684.1,195
Brucella melitensis,29459,AOG53622.1,206
Brucella melitensis,29459,AOG52950.1,201
Brucella melitensis,29459,AOG51681.1,195
Brucella melitensis,29459,AOG50643.1,206
Brucella melitensis,29459,AOG49953.1,201
Bradyrhizobium retamae,1300035,WP_057843876.1,209
Bradyrhizobium retamae,1300035,WP_057841168.1,267
Bradyrhizobium jicamae,280332,WP_057837268.1,209
Bradyrhizobium jicamae,280332,WP_057834078.1,266
Colwellia sp. TT2012,1720342,WP_057832367.1,224
Alteromonas stellipolaris,233316,WP_057793392.1,226
Alteromonas stellipolaris,233316,WP_057792539.1,232
Bradyrhizobium manausense,989370,WP_057747565.1,209
Bradyrhizobium manausense,989370,WP_057746159.1,248
Pseudomonas orientalis,76758,WP_057725298.1,230
Pseudomonas fluorescens,294,WP_057715951.1,235
Pseudomonas fluorescens,294,WP_057712560.1,230
Pseudomonas paralactis,1615673,WP_057704713.1,230
Bordetella sp. N,1746199,WP_057652129.1,227
Vibrio cholerae,666,WP_057568367.1,220
Vibrio cholerae,666,WP_057563458.1,220
Vibrio cholerae,666,WP_057558387.1,220
Rhizobium sp. Root1203,1736427,WP_057472425.1,199
Rhizobium sp. Root1203,1736427,WP_057468737.1,201
Rhizobium sp. Root1203,1736427,WP_057466810.1,325
Pseudovibrio sp. POLY-S9,1576596,WP_057463697.1,301
Pseudovibrio,258255,WP_057462527.1,206
Pseudovibrio sp. POLY-S9,1576596,WP_057462380.1,255
Pseudomonas fluorescens,294,WP_057441344.1,230
Pseudomonas fluorescens,294,WP_057399109.1,230
Ruegeria denitrificans,1715692,CUJ94936.1,207
Ruegeria denitrificans,1715692,CUK18137.1,207
Pelomonas sp. Root1217,1736430,WP_057300500.1,204
Ensifer sp. Root278,1736509,WP_057255614.1,202
Sinorhizobium/Ensifer group,227292,WP_057247867.1,206
Ensifer,106591,WP_057220552.1,202
Bradyrhizobium sp. Leaf396,1736363,WP_057199216.1,210
Bosea sp. Root483D1,1736544,WP_057192266.1,210
Mesorhizobium sp. Root695,1736589,WP_057145783.1,202
Mesorhizobium sp. Root695,1736589,WP_057143035.1,313
Pseudomonas mendocina S5.2,1225174,ALN20211.1,212
Pseudomonas mendocina S5.2,1225174,ALN19768.1,226
Comamonas testosteroni,285,WP_057092622.1,227
Citrobacter freundii,546,WP_057068077.1,232
Bradyrhizobium yuanmingense,108015,WP_057029569.1,208
Bradyrhizobium yuanmingense,108015,WP_057029393.1,200
Bradyrhizobium yuanmingense,108015,WP_057028234.1,243
Bradyrhizobium yuanmingense,108015,WP_057026478.1,188
Bradyrhizobium yuanmingense,108015,WP_057026184.1,208
Pseudomonas synxantha,47883,WP_057025708.1,230
Bradyrhizobium pachyrhizi,280333,WP_057020242.1,209
Bradyrhizobium pachyrhizi,280333,WP_057020091.1,250
Bradyrhizobium pachyrhizi,280333,WP_057017073.1,337
Pseudomonas libanensis,75588,WP_057014818.1,230
Ruegeria atlantica,81569,CUH48497.1,207
Altererythrobacter sp. BPTF-M16,2169535,RGP41007.1,331
Vibrio sp. dhg,2163016,AXT73442.1,227
Ruegeria sp. AD91A,2293862,AXT28477.1,173
Pseudoalteromonas tunicata,314281,AXT30126.1,233
Alteromonas sp. BL110,1714845,AXT37713.1,226
Alteromonas sp. BL110,1714845,AXT37221.1,242
Breoghania sp. L-A4,2304600,WP_117413089.1,205
Aeromonas dhakensis,196024,WP_117403088.1,240
Shinella sp. WSJ-2,2303749,WP_117367534.1,205
Shinella sp. WSJ-2,2303749,WP_117366136.1,199
Citrobacter gillenii,67828,WP_117343164.1,206
