"","organism","TaxID","subgroup","level","RefSeq.FTP"
"25717","Halioglobus sp. U0301",2283635,"Gammaproteobacteria","SAMN09722865","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/457/605/GCA_003457605.1_ASM345760v1"
"25135","Citrobacter portucalensis",1639133,"Gammaproteobacteria","SAMN02463699","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/355/GCA_000158355.2_Citrobacter_sp_30_2_V2"
"17757","Dechloromonas sp. HYN0024",2231055,"Betaproteobacteria","SAMN09425396","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/441/615/GCA_003441615.1_ASM344161v1"
"431","Pseudoalteromonas tunicata D2",87626,"Gammaproteobacteria","SAMN00622973","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/245/GCA_000153245.1_ASM15324v1"
"4498","Aeromonas dhakensis",196024,"Gammaproteobacteria","SAMN07577462","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1"
"24162","Citrobacter gillenii",67828,"Gammaproteobacteria","SAMN09791470","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/429/605/GCA_003429605.1_ASM342960v1"
"144","Comamonas testosteroni TK102",1392005,"Betaproteobacteria","SAMN03081477","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/375/GCA_000739375.1_ASM73937v1"
"3548","Stenotrophomonas rhizophila",216778,"Gammaproteobacteria","SAMN05276013","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/155/GCA_001704155.1_ASM170415v1"
"225","Bordetella parapertussis Bpp5",1208660,"Betaproteobacteria","SAMEA2272448","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/935/GCA_000317935.1_ASM31793v1"
"220","Bordetella bronchiseptica 253",568707,"Betaproteobacteria","SAMEA2272388","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/318/015/GCA_000318015.1_ASM31801v1"
"3171","Shewanella algae",38313,"Gammaproteobacteria","SAMEA3221090","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/947/195/GCA_000947195.1_Shewanella_algae_MARS_14"
"7348","Wenzhouxiangella marina",1579979,"Gammaproteobacteria","SAMN03793171","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/785/GCA_001187785.1_ASM118778v1"
"20811","Fulvimarina sp. 85",2293836,"Alphaproteobacteria","SAMN09780445","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/403/015/GCA_003403015.1_ASM340301v1"
"25737","Tardiphaga sp. OV697",2135487,"Alphaproteobacteria","SAMN08775157","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/755/GCA_003096755.1_ASM309675v1"
"16353","Methylocystaceae bacterium UBA2095",1952231,"Alphaproteobacteria","SAMN06454935","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/331/235/GCA_002331235.1_ASM233123v1"
"1826","Leclercia adecarboxylata",83655,"Gammaproteobacteria","SAMN04158503","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/518/835/GCA_001518835.1_ASM151883v1"
"5","Acinetobacter baumannii",470,"Gammaproteobacteria","SAMN02940899","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/645/GCA_000746645.1_ASM74664v1"
"30207","Pseudomonas sp. ATCC 13867",1294143,"Gammaproteobacteria","SAMN02603735","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/845/GCA_000349845.1_ASM34984v1"
"24604","Wenzhouxiangella sp. 15190",2301225,"Gammaproteobacteria","SAMN09810246","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/417/465/GCA_003417465.1_ASM341746v1"
"23324","Zobellella maritima",2059725,"Gammaproteobacteria","SAMN08954523","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/075/035/GCA_003075035.1_ASM307503v1"
"23154","gamma proteobacterium symbiont of Ctena orbiculata",1968598,"Gammaproteobacteria","SAMN08891713","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/058/485/GCA_003058485.1_ASM305848v1"
"3044","Pseudomonas citronellolis",53408,"Gammaproteobacteria","SAMN05178539","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/654/435/GCA_001654435.1_ASM165443v1"
"3056","Pseudomonas parafulva",157782,"Gammaproteobacteria","SAMN03107785","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/255/GCA_000800255.1_ASM80025v1"
"24111","Parahaliea mediterranea",651086,"Gammaproteobacteria","SAMN08997836","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/402/235/GCA_003402235.1_ASM340223v1"
"46","Klebsiella pneumoniae subsp. pneumoniae HS11286",1125630,"Gammaproteobacteria","SAMN02602959","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/185/GCA_000240185.2_ASM24018v2"
"24118","Wenzhouxiangella sp. 15181",2301224,"Gammaproteobacteria","SAMN09810245","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/410/035/GCA_003410035.1_ASM341003v1"
"292","Pectobacterium atrosepticum SCRI1043",218491,"Gammaproteobacteria","SAMEA1705920","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/605/GCA_000011605.1_ASM1160v1"
"24100","Thalassotalea euphylliae",1655234,"Gammaproteobacteria","SAMN09762563","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/390/335/GCA_003390335.1_ASM339033v1"
"24075","Marinomonas pollencensis",491954,"Gammaproteobacteria","SAMN09074958","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/387/375/GCA_003387375.1_ASM338737v1"
"1343","Vibrio anguillarum 775",882102,"Gammaproteobacteria","SAMN02603689","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/675/GCA_000217675.1_ASM21767v1"
"24056","Kushneria indalinina DSM 14324",1122140,"Gammaproteobacteria","SAMN08776247","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/385/845/GCA_003385845.1_ASM338584v1"
"1112","Vibrio coralliilyticus",190893,"Gammaproteobacteria","SAMN03010512","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/763/535/GCA_000763535.2_ASM76353v2"
"8265","Roseateles depolymerans",76731,"Betaproteobacteria","SAMN04363976","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/865/GCA_001483865.1_ASM148386v1"
"24056.1","Kushneria indalinina DSM 14324",1122140,"Gammaproteobacteria","SAMN08776247","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/385/845/GCA_003385845.1_ASM338584v1"
"35183","Pectobacterium sp. A35-S23-M15",2204145,"Gammaproteobacteria","SAMN09259573","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/382/645/GCA_003382645.1_ASM338264v1"
"33167","Pectobacterium sp. A101-S19-F16",2204146,"Gammaproteobacteria","SAMN09259574","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/382/625/GCA_003382625.1_ASM338262v1"
"2718","Pectobacterium sp. A212-S19-A16",2204150,"Gammaproteobacteria","SAMN09259578","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/382/565/GCA_003382565.1_ASM338256v1"
"36710","Pectobacterium sp. A127-S21-F16",2204149,"Gammaproteobacteria","SAMN09259577","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/382/655/GCA_003382655.1_ASM338265v1"
"30451","Pectobacterium sp. A104-S21-F16",2204147,"Gammaproteobacteria","SAMN09259575","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/382/595/GCA_003382595.1_ASM338259v1"
"27491","Pectobacterium sp. A105-S21-F16",2204148,"Gammaproteobacteria","SAMN09259576","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/382/585/GCA_003382585.1_ASM338258v1"
"1711","Vibrio campbellii ATCC BAA-1116",338187,"Gammaproteobacteria","SAMN02603960","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/705/GCA_000017705.1_ASM1770v1"
"23989","Gallaecimonas sp. HK-28",2291597,"Gammaproteobacteria","SAMN09742667","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/367/375/GCA_003367375.1_ASM336737v1"
"1896","Buttiauxella agrestis ATCC 33320",1006004,"Gammaproteobacteria","SAMN02742621","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/735/355/GCA_000735355.1_GBAG_DRAFTv1"
"319","Chromobacterium violaceum ATCC 12472",243365,"Betaproteobacteria","SAMN02603528","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/705/GCA_000007705.1_ASM770v1"
"1246","Citrobacter freundii CFNIH1",1333848,"Gammaproteobacteria","SAMN02713684","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/515/GCA_000648515.1_ASM64851v1"
"39518","Marinomonas sp. YLB-05",2213058,"Gammaproteobacteria","SAMN09377739","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/362/755/GCA_003362755.1_ASM336275v1"
"1927","Arcobacter trophiarum LMG 25534",1032241,"delta/epsilon subdivisions","SAMN03737959","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/355/515/GCF_003355515.1_ASM335551v1"
"84","Photobacterium damselae subsp. damselae",85581,"Gammaproteobacteria","SAMN06909323","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/142/615/GCA_002142615.1_ASM214261v1"
"3409","Achromobacter denitrificans",32002,"Betaproteobacteria","SAMN04158498","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/355/GCA_001514355.1_ASM151435v1"
"62","Aeromonas salmonicida subsp. salmonicida A449",382245,"Gammaproteobacteria","SAMN02603664","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/395/GCA_000196395.1_ASM19639v1"
"39596","Alcaligenes faecalis subsp. faecalis NCIB 8687",1156918,"Betaproteobacteria","SAMN00998594","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/465/GCA_000275465.1_Gretchen3"
"1117","Grimontia hollisae",673,"Gammaproteobacteria","SAMN03996327","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/255/GCA_001558255.2_ASM155825v2"
"1709","Legionella hackeliae",449,"Gammaproteobacteria","SAMEA2785664","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/655/GCA_000953655.1_LHA"
"1095","Vibrio alginolyticus NBRC 15630 = ATCC 17749",1219076,"Gammaproteobacteria","SAMN02603463","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/175/GCA_000354175.2_ASM35417v2"
"8194","Legionella gratiana",45066,"Gammaproteobacteria","SAMN04274776","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/467/695/GCA_001467695.1_ASM146769v1"
"8198","Legionella israelensis",454,"Gammaproteobacteria","SAMN04274778","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/467/785/GCA_001467785.1_ASM146778v1"
"558","Pseudomonas mendocina ymp",399739,"Gammaproteobacteria","SAMN02598392","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/565/GCA_000016565.1_ASM1656v1"
"3366","Pseudomonas protegens CHA0",1124983,"Gammaproteobacteria","SAMN02603271","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/397/205/GCA_000397205.1_ASM39720v1"
"24025","Iodobacter fluviatilis",537,"Betaproteobacteria","SAMEA4063022","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/451/195/GCA_900451195.1_48853_F02"
"24023","Legionella donaldsonii",45060,"Gammaproteobacteria","SAMEA3923591","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/452/385/GCA_900452385.1_45813_G02"
"22549","Marinobacter flavimaris",262076,"Gammaproteobacteria","SAMN09748093","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/363/485/GCA_003363485.1_ASM336348v1"
"1927.1","Arcobacter trophiarum LMG 25534",1032241,"delta/epsilon subdivisions","SAMN03737959","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/355/515/GCF_003355515.1_ASM335551v1"
"3518","Hafnia paralvei",546367,"Gammaproteobacteria","SAMN03996303","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/559/255/GCA_001559255.2_ASM155925v2"
"8191","Legionella feeleii",453,"Gammaproteobacteria","SAMN04274773","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/467/625/GCA_001467625.1_ASM146762v1"
"12412","Pseudomonas jessenii",77298,"Gammaproteobacteria","SAMN07236640","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/236/115/GCA_002236115.1_ASM223611v1"
"24010","Shewanella corallii",560080,"Gammaproteobacteria","SAMN09745125","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/353/085/GCA_003353085.1_ASM335308v1"
"24015","Pseudomonas wadenswilerensis",1785161,"Gammaproteobacteria","SAMEA4796555","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/497/695/GCA_900497695.1_PWADCCOS864"
"22","Shewanella putrefaciens CN-32",319224,"Gammaproteobacteria","SAMN00623063","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1"
"30337","Rhodoferax sp. OTU1",2109322,"Betaproteobacteria","SAMN08568213","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/347/515/GCA_003347515.1_ASM334751v1"
"23974","Pseudomonas kribbensis",1628086,"Gammaproteobacteria","SAMN09244908","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/352/185/GCA_003352185.1_ASM335218v1"
"36564","Comamonas sp. AG1104",2183900,"Betaproteobacteria","SAMN09083420","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/350/425/GCA_003350425.1_ASM335042v1"
"1924","Arcobacter mytili LMG 24559",1032238,"delta/epsilon subdivisions","SAMN03737955","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/346/775/GCF_003346775.1_ASM334677v1"
"23944","Arcobacter bivalviorum",663364,"delta/epsilon subdivisions","SAMN03737945","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/346/815/GCF_003346815.1_ASM334681v1"
"3739","Pseudacidovorax intermedius",433924,"Betaproteobacteria","SAMN03401387","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/476/815/GCA_001476815.1_ASM147681v1"
"2217","Pseudomonas chlororaphis",587753,"Gammaproteobacteria","SAMN02780900","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/865/GCA_000698865.1_ASM69886v1"
"21","Shewanella baltica OS678",693973,"Gammaproteobacteria","SAMN00016780","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/875/GCA_000178875.2_ASM17887v2"
"1898","Kluyvera ascorbata ATCC 33433",1006000,"Gammaproteobacteria","SAMN02743264","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/735/365/GCA_000735365.1_GKAS_DRAFTv1"
"1118","Vibrio furnissii NCTC 11218",903510,"Gammaproteobacteria","SAMN02603955","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/325/GCA_000184325.1_ASM18432v1"
"2108","Pseudomonas oleovorans MOIL14HWK12",1033992,"Gammaproteobacteria","SAMN02597181","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/510/765/GCA_000510765.1_ASM51076v1"
"3042","Pseudomonas alcaligenes",43263,"Gammaproteobacteria","SAMN04539664","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/597/285/GCA_001597285.1_ASM159728v1"
"1074","Vibrio fluvialis",676,"Gammaproteobacteria","SAMN03996321","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/415/GCA_001558415.2_ASM155841v2"
"1092","Vibrio mimicus",674,"Gammaproteobacteria","SAMN03996328","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/475/GCA_001558475.2_ASM155847v2"
"8203","Legionella quateirensis",45072,"Gammaproteobacteria","SAMEA103980431","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/452/695/GCA_900452695.1_56279_B01"
"15116","Pseudoalteromonas nigrifaciens",28109,"Gammaproteobacteria","SAMN03380226","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/221/505/GCA_002221505.1_ASM222150v1"
"8189","Legionella birminghamensis",28083,"Gammaproteobacteria","SAMN04274765","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/467/505/GCA_001467505.1_ASM146750v1"
"3687","Legionella moravica DSM 19234",1122165,"Gammaproteobacteria","SAMN02441510","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/305/GCA_000423305.1_ASM42330v1"
"14.1","Legionella pneumophila subsp. pneumophila str. Philadelphia 1",272624,"Gammaproteobacteria","SAMN02603156","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1"
"8204","Legionella quinlivanii",45073,"Gammaproteobacteria","SAMN04274790","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/467/975/GCA_001467975.1_ASM146797v1"
"8190","Legionella worsleiensis",45076,"Gammaproteobacteria","SAMN04274800","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/467/535/GCA_001467535.1_ASM146753v1"
"8199","Legionella londiniensis",45068,"Gammaproteobacteria","SAMN04274782","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/467/825/GCA_001467825.1_ASM146782v1"
