"","organism","TaxID","subgroup","level","RefSeq.FTP","tbl","prt"
"26055","Methylomonas koyamae",702114,"Gammaproteobacteria","SAMN04555167","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/025/GCA_001644025.1_ASM164402v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/025/GCA_001644025.1_ASM164402v1/GCA_001644025.1_ASM164402v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/025/GCA_001644025.1_ASM164402v1/GCA_001644025.1_ASM164402v1_protein.faa.gz"
"2482","Methylomonas sp. DH-1",1727196,"Gammaproteobacteria","SAMN04496853","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/685/GCA_001644685.1_ASM164468v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/685/GCA_001644685.1_ASM164468v1/GCA_001644685.1_ASM164468v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/644/685/GCA_001644685.1_ASM164468v1/GCA_001644685.1_ASM164468v1_protein.faa.gz"
"27918","Pseudoalteromonas arctica",394751,"Gammaproteobacteria","SAMN08125770","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/095/GCA_002836095.1_ASM283609v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/095/GCA_002836095.1_ASM283609v1/GCA_002836095.1_ASM283609v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/836/095/GCA_002836095.1_ASM283609v1/GCA_002836095.1_ASM283609v1_protein.faa.gz"
"22483","Pseudomonas hunanensis",1247546,"Gammaproteobacteria","SAMN08123256","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/975/GCA_002910975.1_ASM291097v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/975/GCA_002910975.1_ASM291097v1/GCA_002910975.1_ASM291097v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/910/975/GCA_002910975.1_ASM291097v1/GCA_002910975.1_ASM291097v1_protein.faa.gz"
"35029","Methylomonas sp. Kb3",1611544,"Gammaproteobacteria","SAMN08111978","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/834/115/GCA_002834115.1_ASM283411v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/834/115/GCA_002834115.1_ASM283411v1/GCA_002834115.1_ASM283411v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/834/115/GCA_002834115.1_ASM283411v1/GCA_002834115.1_ASM283411v1_protein.faa.gz"
"39899","Aeromonas hydrophila",644,"Gammaproteobacteria","SAMN03366652","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/940/915/GCA_000940915.1_ASM94091v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/940/915/GCA_000940915.1_ASM94091v1/GCA_000940915.1_ASM94091v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/940/915/GCA_000940915.1_ASM94091v1/GCA_000940915.1_ASM94091v1_protein.faa.gz"
"7343","Achromobacter spanius",217203,"Betaproteobacteria","SAMN08043154","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/812/705/GCA_002812705.1_ASM281270v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/812/705/GCA_002812705.1_ASM281270v1/GCA_002812705.1_ASM281270v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/812/705/GCA_002812705.1_ASM281270v1/GCA_002812705.1_ASM281270v1_protein.faa.gz"
"28217","Aeromonas veronii",654,"Gammaproteobacteria","SAMN04012505","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/245/GCA_001593245.1_ASM159324v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/245/GCA_001593245.1_ASM159324v1/GCA_001593245.1_ASM159324v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/245/GCA_001593245.1_ASM159324v1/GCA_001593245.1_ASM159324v1_protein.faa.gz"
"40191","Aeromonas salmonicida subsp. salmonicida",29491,"Gammaproteobacteria","SAMN03295755","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/985/GCA_000931985.2_ASM93198v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/985/GCA_000931985.2_ASM93198v2/GCA_000931985.2_ASM93198v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/985/GCA_000931985.2_ASM93198v2/GCA_000931985.2_ASM93198v2_protein.faa.gz"
"9069","Achromobacter ruhlandii",72557,"Betaproteobacteria","SAMN05715545","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/135/GCA_002082135.1_ASM208213v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/135/GCA_002082135.1_ASM208213v1/GCA_002082135.1_ASM208213v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/135/GCA_002082135.1_ASM208213v1/GCA_002082135.1_ASM208213v1_protein.faa.gz"
"8","Vibrio vulnificus",672,"Gammaproteobacteria","SAMN04457466","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1/GCA_002215135.1_ASM221513v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1/GCA_002215135.1_ASM221513v1_protein.faa.gz"
"28377","Citrobacter freundii",546,"Gammaproteobacteria","SAMN02934525","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/755/GCA_000783755.2_ASM78375v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/755/GCA_000783755.2_ASM78375v2/GCA_000783755.2_ASM78375v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/755/GCA_000783755.2_ASM78375v2/GCA_000783755.2_ASM78375v2_protein.faa.gz"
"2295","Alcaligenes faecalis",511,"Betaproteobacteria","SAMN03379009","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/305/GCA_000967305.2_ASM96730v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/305/GCA_000967305.2_ASM96730v2/GCA_000967305.2_ASM96730v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/305/GCA_000967305.2_ASM96730v2/GCA_000967305.2_ASM96730v2_protein.faa.gz"
"21742","Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_49_83",1974118,"Zetaproteobacteria","SAMN06660135","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/791/545/GCA_002791545.1_ASM279154v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/791/545/GCA_002791545.1_ASM279154v1/GCA_002791545.1_ASM279154v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/791/545/GCA_002791545.1_ASM279154v1/GCA_002791545.1_ASM279154v1_protein.faa.gz"
"21383","Zetaproteobacteria bacterium CG_4_10_14_0_8_um_filter_49_80",1974111,"Zetaproteobacteria","SAMN06659850","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/325/GCA_002784325.1_ASM278432v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/325/GCA_002784325.1_ASM278432v1/GCA_002784325.1_ASM278432v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/325/GCA_002784325.1_ASM278432v1/GCA_002784325.1_ASM278432v1_protein.faa.gz"
"21236","Zetaproteobacteria bacterium CG02_land_8_20_14_3_00_50_9",1974121,"Zetaproteobacteria","SAMN06659184","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/781/245/GCA_002781245.1_ASM278124v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/781/245/GCA_002781245.1_ASM278124v1/GCA_002781245.1_ASM278124v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/781/245/GCA_002781245.1_ASM278124v1/GCA_002781245.1_ASM278124v1_protein.faa.gz"
