"","organism","subgroup","level","RefSeq.FTP","tbl","prt"
"37498","Vibrio parahaemolyticus",5.14922,"SAMN03255431","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/185/GCA_001188185.2_ASM118818v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/185/GCA_001188185.2_ASM118818v2/GCA_001188185.2_ASM118818v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/185/GCA_001188185.2_ASM118818v2/GCA_001188185.2_ASM118818v2_protein.faa.gz"
"28217","Aeromonas veronii",4.92301,"SAMN04012505","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/245/GCA_001593245.1_ASM159324v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/245/GCA_001593245.1_ASM159324v1/GCA_001593245.1_ASM159324v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/245/GCA_001593245.1_ASM159324v1/GCA_001593245.1_ASM159324v1_protein.faa.gz"
"37239","Pectobacterium carotovorum",4.97588,"SAMN03144687","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/031/305/GCA_003031305.1_ASM303130v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/031/305/GCA_003031305.1_ASM303130v1/GCA_003031305.1_ASM303130v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/031/305/GCA_003031305.1_ASM303130v1/GCA_003031305.1_ASM303130v1_protein.faa.gz"
"14585","Kushneria marisflavi",3.66718,"SAMN06765534","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/205/GCA_002157205.1_ASM215720v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/205/GCA_002157205.1_ASM215720v1/GCA_002157205.1_ASM215720v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/205/GCA_002157205.1_ASM215720v1/GCA_002157205.1_ASM215720v1_protein.faa.gz"
"37567","Legionella pneumophila subsp. pneumophila",3.49254,"SAMEA3138424","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/845/GCA_000306845.1_ASM30684v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/845/GCA_000306845.1_ASM30684v1/GCA_000306845.1_ASM30684v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/845/GCA_000306845.1_ASM30684v1/GCA_000306845.1_ASM30684v1_protein.faa.gz"
"24468","Shewanella spongiae",4.96715,"SAMN10081109","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/335/GCA_003676335.1_ASM367633v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/335/GCA_003676335.1_ASM367633v1/GCA_003676335.1_ASM367633v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/335/GCA_003676335.1_ASM367633v1/GCA_003676335.1_ASM367633v1_protein.faa.gz"
"23157","Legionella taurinensis",3.04366,"SAMN08935049","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/070/625/GCA_003070625.1_ASM307062v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/070/625/GCA_003070625.1_ASM307062v1/GCA_003070625.1_ASM307062v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/070/625/GCA_003070625.1_ASM307062v1/GCA_003070625.1_ASM307062v1_protein.faa.gz"
"37519","Rhodopseudomonas palustris",6.12396,"SAMN03072170","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/205/GCA_000935205.1_ASM93520v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/205/GCA_000935205.1_ASM93520v1/GCA_000935205.1_ASM93520v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/205/GCA_000935205.1_ASM93520v1/GCA_000935205.1_ASM93520v1_protein.faa.gz"
"24396","Pseudoalteromonas profundi",4.58666,"SAMN10075489","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/591/235/GCA_003591235.1_ASM359123v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/591/235/GCA_003591235.1_ASM359123v1/GCA_003591235.1_ASM359123v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/591/235/GCA_003591235.1_ASM359123v1/GCA_003591235.1_ASM359123v1_protein.faa.gz"
"40113","Vibrio cholerae",4.25802,"SAMN02741837","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/415/GCA_000765415.1_ASM76541v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/415/GCA_000765415.1_ASM76541v1/GCA_000765415.1_ASM76541v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/415/GCA_000765415.1_ASM76541v1/GCA_000765415.1_ASM76541v1_protein.faa.gz"
"27500","Mesorhizobium sp. DCY119",4.83782,"SAMN09829652","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/590/645/GCA_003590645.1_ASM359064v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/590/645/GCA_003590645.1_ASM359064v1/GCA_003590645.1_ASM359064v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/590/645/GCA_003590645.1_ASM359064v1/GCA_003590645.1_ASM359064v1_protein.faa.gz"
"28103","Pseudomonas pseudoalcaligenes",4.69698,"SAMEA2536150","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/455/GCA_000953455.1_Ppseudo_Pac","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/455/GCA_000953455.1_Ppseudo_Pac/GCA_000953455.1_Ppseudo_Pac_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/455/GCA_000953455.1_Ppseudo_Pac/GCA_000953455.1_Ppseudo_Pac_protein.faa.gz"
"38300","Pusillimonas sp. L52-1-41",3.41473,"SAMN07508357","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/585/905/GCA_003585905.1_ASM358590v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/585/905/GCA_003585905.1_ASM358590v1/GCA_003585905.1_ASM358590v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/585/905/GCA_003585905.1_ASM358590v1/GCA_003585905.1_ASM358590v1_protein.faa.gz"
"35129","Alteromonas sp. RKMC-009",4.9348,"SAMN09630237","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/565/GCA_003584565.1_ASM358456v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/565/GCA_003584565.1_ASM358456v1/GCA_003584565.1_ASM358456v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/565/GCA_003584565.1_ASM358456v1/GCA_003584565.1_ASM358456v1_protein.faa.gz"
"24355","Rhodocyclales bacterium GT-UBC",4.68371,"SAMN09984824","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/583/745/GCA_003583745.1_ASM358374v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/583/745/GCA_003583745.1_ASM358374v1/GCA_003583745.1_ASM358374v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/583/745/GCA_003583745.1_ASM358374v1/GCA_003583745.1_ASM358374v1_protein.faa.gz"
"39227","Achromobacter sp. K91",6.7838,"SAMN09756994","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/205/GCA_003576205.1_ASM357620v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/205/GCA_003576205.1_ASM357620v1/GCA_003576205.1_ASM357620v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/205/GCA_003576205.1_ASM357620v1/GCA_003576205.1_ASM357620v1_protein.faa.gz"
"36745","Pusillimonas sp. 17-4A",3.25298,"SAMN07508113","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/595/GCA_003576595.1_ASM357659v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/595/GCA_003576595.1_ASM357659v1/GCA_003576595.1_ASM357659v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/595/GCA_003576595.1_ASM357659v1/GCA_003576595.1_ASM357659v1_protein.faa.gz"
"24349","Oceanospirillales bacterium WDS2A16A",3.70061,"SAMN09665230","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/577/475/GCA_003577475.1_ASM357747v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/577/475/GCA_003577475.1_ASM357747v1/GCA_003577475.1_ASM357747v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/577/475/GCA_003577475.1_ASM357747v1/GCA_003577475.1_ASM357747v1_protein.faa.gz"
"2086","Pseudomonas monteilii",4.71436,"SAMN04158505","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/534/745/GCA_001534745.1_ASM153474v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/534/745/GCA_001534745.1_ASM153474v1/GCA_001534745.1_ASM153474v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/534/745/GCA_001534745.1_ASM153474v1/GCA_001534745.1_ASM153474v1_protein.faa.gz"
"24510","Pseudomonas putida",5.87875,"SAMN03198226","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/615/GCA_000800615.1_PseuPA14H7","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/615/GCA_000800615.1_PseuPA14H7/GCA_000800615.1_PseuPA14H7_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/615/GCA_000800615.1_PseuPA14H7/GCA_000800615.1_PseuPA14H7_protein.faa.gz"
"83","Vibrio harveyi",5.88149,"SAMN03075601","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/115/GCA_000770115.2_ASM77011v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/115/GCA_000770115.2_ASM77011v2/GCA_000770115.2_ASM77011v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/115/GCA_000770115.2_ASM77011v2/GCA_000770115.2_ASM77011v2_protein.faa.gz"
"18185","Proteobacteria bacterium",2.10502,"SAMN07568925","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/401/635/GCA_002401635.1_ASM240163v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/401/635/GCA_002401635.1_ASM240163v1/GCA_002401635.1_ASM240163v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/401/635/GCA_002401635.1_ASM240163v1/GCA_002401635.1_ASM240163v1_protein.faa.gz"
"162","Vibrio splendidus",5.50839,"SAMN09659035","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/345/295/GCA_003345295.1_ASM334529v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/345/295/GCA_003345295.1_ASM334529v1/GCA_003345295.1_ASM334529v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/345/295/GCA_003345295.1_ASM334529v1/GCA_003345295.1_ASM334529v1_protein.faa.gz"
"1034","Achromobacter xylosoxidans",6.81318,"SAMEA2517358","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/475/GCA_001457475.1_NCTC10807","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/475/GCA_001457475.1_NCTC10807/GCA_001457475.1_NCTC10807_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/475/GCA_001457475.1_NCTC10807/GCA_001457475.1_NCTC10807_protein.faa.gz"
"24292","Arcobacter ellisii",2.79995,"SAMN03737951","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/915/GCF_003544915.1_ASM354491v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/915/GCF_003544915.1_ASM354491v1/GCF_003544915.1_ASM354491v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/915/GCF_003544915.1_ASM354491v1/GCF_003544915.1_ASM354491v1_protein.faa.gz"
"8","Vibrio vulnificus",5.16313,"SAMN04457466","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1/GCA_002215135.1_ASM221513v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1/GCA_002215135.1_ASM221513v1_protein.faa.gz"
"39899","Aeromonas hydrophila",4.90139,"SAMN03366652","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/940/915/GCA_000940915.1_ASM94091v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/940/915/GCA_000940915.1_ASM94091v1/GCA_000940915.1_ASM94091v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/940/915/GCA_000940915.1_ASM94091v1/GCA_000940915.1_ASM94091v1_protein.faa.gz"
"24290","Vibrio alfacsensis",4.91023,"SAMN09917449","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/875/GCA_003544875.1_ASM354487v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/875/GCA_003544875.1_ASM354487v1/GCA_003544875.1_ASM354487v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/875/GCA_003544875.1_ASM354487v1/GCA_003544875.1_ASM354487v1_protein.faa.gz"
"24289","Arcobacter suis CECT 7833",2.63927,"SAMN03737957","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/815/GCF_003544815.1_ASM354481v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/815/GCF_003544815.1_ASM354481v1/GCF_003544815.1_ASM354481v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/815/GCF_003544815.1_ASM354481v1/GCF_003544815.1_ASM354481v1_protein.faa.gz"
"14121","Arcobacter marinus",2.81879,"SAMN06295997","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/035/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/035/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/035/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly_protein.faa.gz"
"18163","Lonsdalea britannica",4.01557,"SAMN07554530","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/985/GCA_003515985.1_ASM351598v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/985/GCA_003515985.1_ASM351598v1/GCA_003515985.1_ASM351598v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/985/GCA_003515985.1_ASM351598v1/GCA_003515985.1_ASM351598v1_protein.faa.gz"
"24278","Pseudoalteromonas donghaensis",4.73392,"SAMN09939547","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/105/GCA_003515105.1_ASM351510v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/105/GCA_003515105.1_ASM351510v1/GCA_003515105.1_ASM351510v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/105/GCA_003515105.1_ASM351510v1/GCA_003515105.1_ASM351510v1_protein.faa.gz"
"25717","Halioglobus sp. U0301",4.30736,"SAMN09722865","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/457/605/GCA_003457605.1_ASM345760v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/457/605/GCA_003457605.1_ASM345760v1/GCA_003457605.1_ASM345760v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/457/605/GCA_003457605.1_ASM345760v1/GCA_003457605.1_ASM345760v1_protein.faa.gz"
"25135","Citrobacter portucalensis",5.02321,"SAMN02463699","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/355/GCA_000158355.2_Citrobacter_sp_30_2_V2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/355/GCA_000158355.2_Citrobacter_sp_30_2_V2/GCA_000158355.2_Citrobacter_sp_30_2_V2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/355/GCA_000158355.2_Citrobacter_sp_30_2_V2/GCA_000158355.2_Citrobacter_sp_30_2_V2_protein.faa.gz"
"17757","Dechloromonas sp. HYN0024",3.2583,"SAMN09425396","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/441/615/GCA_003441615.1_ASM344161v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/441/615/GCA_003441615.1_ASM344161v1/GCA_003441615.1_ASM344161v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/441/615/GCA_003441615.1_ASM344161v1/GCA_003441615.1_ASM344161v1_protein.faa.gz"
"28833","Pseudoalteromonas tunicata",4.95944,"SAMN03380230","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/310/815/GCA_002310815.1_ASM231081v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/310/815/GCA_002310815.1_ASM231081v1/GCA_002310815.1_ASM231081v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/310/815/GCA_002310815.1_ASM231081v1/GCA_002310815.1_ASM231081v1_protein.faa.gz"
"4498","Aeromonas dhakensis",4.86805,"SAMN07577462","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1/GCA_002285935.1_ASM228593v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1/GCA_002285935.1_ASM228593v1_protein.faa.gz"
"24162","Citrobacter gillenii",5.16721,"SAMN09791470","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/429/605/GCA_003429605.1_ASM342960v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/429/605/GCA_003429605.1_ASM342960v1/GCA_003429605.1_ASM342960v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/429/605/GCA_003429605.1_ASM342960v1/GCA_003429605.1_ASM342960v1_protein.faa.gz"
"37672","Comamonas testosteroni",5.40647,"SAMD00018645","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/035/GCA_000740035.1_ASM74003v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/035/GCA_000740035.1_ASM74003v1/GCA_000740035.1_ASM74003v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/035/GCA_000740035.1_ASM74003v1/GCA_000740035.1_ASM74003v1_protein.faa.gz"
"3548","Stenotrophomonas rhizophila",4.19865,"SAMN05276013","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/155/GCA_001704155.1_ASM170415v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/155/GCA_001704155.1_ASM170415v1/GCA_001704155.1_ASM170415v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/155/GCA_001704155.1_ASM170415v1/GCA_001704155.1_ASM170415v1_protein.faa.gz"
"29364","Bordetella parapertussis",4.77371,"SAMN05333721","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/255/GCA_001704255.1_ASM170425v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/255/GCA_001704255.1_ASM170425v1/GCA_001704255.1_ASM170425v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/255/GCA_001704255.1_ASM170425v1/GCA_001704255.1_ASM170425v1_protein.faa.gz"
"34056","Bordetella bronchiseptica",5.19171,"SAMD00000333","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/175/GCA_000829175.1_ASM82917v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/175/GCA_000829175.1_ASM82917v1/GCA_000829175.1_ASM82917v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/175/GCA_000829175.1_ASM82917v1/GCA_000829175.1_ASM82917v1_protein.faa.gz"
"3171","Shewanella algae",5.00585,"SAMEA3221090","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/947/195/GCA_000947195.1_Shewanella_algae_MARS_14","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/947/195/GCA_000947195.1_Shewanella_algae_MARS_14/GCA_000947195.1_Shewanella_algae_MARS_14_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/947/195/GCA_000947195.1_Shewanella_algae_MARS_14/GCA_000947195.1_Shewanella_algae_MARS_14_protein.faa.gz"
